task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load dataset,2024-04-25T10:51:15,sentiment classification,c04c4c61-5a25-4c4c-8706-dcffa96f497a,6.555509805679321,6.0312420986022235e-05,9.201163527438927e-06,42.5,0.0,141.20075225830078,7.736094395319621e-05,0,0.0002569317595798339,0.0003342927035330301,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
build model,2024-04-25T10:51:20,sentiment classification,c04c4c61-5a25-4c4c-8706-dcffa96f497a,5.0931689739227295,4.685080980475818e-05,9.198954498351427e-06,42.5,0.0,141.20075225830078,6.010142846239936e-05,0,0.00019957781532014,0.0002596792437825393,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
run classification,2024-04-25T10:51:44,sentiment classification,c04c4c61-5a25-4c4c-8706-dcffa96f497a,24.597932815551758,0.00022639939401077587,9.204391767339757e-06,42.5,0.0,141.20075225830078,0.00029035683704747096,0,0.0009645035095408731,0.001254860346588344,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
