task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load and split data,2024-05-21T12:15:20,portfolio 2,8957f969-9ff8-4225-a020-b42d67d4b116,0.43458127975463867,4.447471760191785e-06,1.019573118061135e-05,62.5,0.0,141.20075225830078,7.5705763366487295e-06,0,1.708035516792279e-05,2.465093150457152e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Define vectorizer,2024-05-21T12:15:20,portfolio 2,8957f969-9ff8-4225-a020-b42d67d4b116,0.0031566619873046875,2.9526186950269543e-08,8.963651131316109e-06,62.5,0.0,141.20075225830078,5.497286717096962e-08,0,1.0868146305256232e-07,1.6365433022353363e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Fit vectorizer,2024-05-21T12:15:35,portfolio 2,8957f969-9ff8-4225-a020-b42d67d4b116,15.768510580062866,0.00016094348182951585,1.0208153225660199e-05,62.5,0.0,141.20075225830078,0.00027371579574214086,0,0.0006183430998753466,0.0008920588956174874,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
