task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load spacy model,2024-05-20T15:33:41,assignment 1,bb4ba401-0348-4c65-a96f-f6e12a51751e,1.702035665512085,1.56752918833032e-05,9.20356410049642e-06,42.5,0.0,141.20075225830078,2.010570913553238e-05,0,6.677748369058917e-05,8.688319282612155e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
"load data, process text, and save results",2024-05-20T15:37:31,assignment 1,bb4ba401-0348-4c65-a96f-f6e12a51751e,230.23361349105835,0.0021195634686622254,9.206348652011807e-06,42.5,0.0,141.20075225830078,0.0027179735867513552,0,0.009030097385447789,0.011748070972199145,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
plot results,2024-05-20T15:37:32,assignment 1,bb4ba401-0348-4c65-a96f-f6e12a51751e,0.8899245262145996,8.18745802113642e-06,9.20208184969517e-06,42.5,0.0,141.20075225830078,1.05027687218452e-05,0,3.487772558103189e-05,4.538049430287752e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
