task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load spacy model,2024-05-21T12:09:20,portfolio 1,94956bdc-52f4-4fd8-80f5-7deeb7388a98,1.9380614757537842,1.7833023781667187e-05,9.204110726209111e-06,42.5,0.0,141.20075225830078,2.2872101432747314e-05,0,7.597071791824419e-05,9.88428193509915e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
"load data, process text, and save results",2024-05-21T12:13:42,portfolio 1,94956bdc-52f4-4fd8-80f5-7deeb7388a98,262.76920914649963,0.002419132137094959,9.206350720104867e-06,42.5,0.0,141.20075225830078,0.00310211814807521,0,0.010306367352789222,0.013408485500864431,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
plot results,2024-05-21T12:13:44,portfolio 1,94956bdc-52f4-4fd8-80f5-7deeb7388a98,1.3061769008636475,1.201376643502174e-05,9.203042065750483e-06,42.5,0.0,141.20075225830078,1.5409512983427954e-05,0,5.117900055192845e-05,6.658851353535597e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
