,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
0,1105.a2.txt,1872.15,1084.47,582.19,536.53,0,0,0
1,4009.a2.txt,1713.69,1212.12,501.57,376.18,0,0,0
2,0128.a2.txt,1832.95,997.68,742.46,556.84,2,0,1
3,0107.a2.txt,1607.75,1311.29,741.16,535.92,2,0,3
4,1104.a2.txt,1970.8,1094.89,839.42,413.63,1,0,0
5,4001.a2.txt,1725.83,1321.91,697.67,489.6,0,0,0
6,4013.a2.txt,2016.55,1127.2,816.96,413.65,2,0,0
7,3018.a2.txt,2004.38,1182.91,1040.53,613.36,1,0,2
8,0232.a2.txt,1573.03,1248.44,699.13,711.61,0,0,0
9,0219.a2.txt,1536.64,1264.78,602.84,638.3,0,0,0
10,1005.a2.txt,1678.97,968.63,977.86,562.73,4,0,1
11,0221.a2.txt,2126.82,1017.17,501.98,317.04,0,0,2
12,0235.a2.txt,2250.92,1230.01,897.91,479.7,0,0,1
13,1098.a2.txt,1721.22,1298.84,675.82,380.15,4,0,2
14,0205.a2.txt,1997.96,1019.37,805.3,448.52,3,0,4
15,5047.a2.txt,2018.45,1222.61,657.44,530.57,0,0,0
16,4023.a2.txt,1522.31,1430.45,538.06,485.56,1,0,0
17,2013.a2.txt,2086.33,863.31,803.36,599.52,0,0,1
18,0191.a2.txt,1815.11,1273.96,653.89,484.78,0,0,3
19,5045.a2.txt,1983.17,973.56,829.33,420.67,1,9,4
20,1097.a2.txt,2083.33,1071.43,738.1,440.48,1,0,2
21,2055.a2.txt,1904.76,1165.41,614.04,350.88,0,0,1
22,2072.a2.txt,1919.06,1135.77,496.08,587.47,0,0,0
23,2012.a2.txt,1778.61,1119.4,721.39,621.89,0,0,1
24,0105.a2.txt,1761.01,1245.28,867.92,578.62,0,0,2
25,3041.a2.txt,2227.43,1090.27,633.06,269.64,1,1,2
26,2031.a2.txt,1834.65,1053.23,973.95,634.2,0,0,1
27,1090.a2.txt,1961.38,1209.35,609.76,508.13,0,0,2
28,5039.a2.txt,1812.42,937.9,811.15,418.25,1,1,5
29,4048.a2.txt,2136.54,884.96,910.24,518.33,1,0,0
30,0167.a2.txt,1753.6,935.25,827.34,602.52,0,0,1
31,0103.a2.txt,1919.43,1208.53,1007.11,391.0,0,0,1
32,2068.a2.txt,1955.45,1150.99,606.44,705.45,2,0,0
33,5022.a2.txt,1865.28,906.74,984.46,544.04,0,0,0
34,0118.a2.txt,1737.93,1420.69,841.38,427.59,1,0,1
35,0102.a2.txt,1812.8,1125.59,651.66,675.36,0,1,1
36,0162.a2.txt,1992.29,1208.23,719.79,359.9,0,0,0
37,4035.a2.txt,2105.98,1209.24,692.93,652.17,0,0,2
38,2038.a2.txt,2056.92,944.37,1021.99,465.72,1,0,2
