,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
0,0303.b3.txt,1529.93,753.88,798.23,421.29,2,0,1
1,0165.b3.txt,1715.14,654.33,627.89,247.85,43,0,21
2,0313.b3.txt,1713.04,544.52,767.09,278.22,5,2,13
3,1112.b3.txt,1589.09,898.88,818.62,457.46,8,0,9
4,0105.b3.txt,1396.32,861.2,752.51,392.98,7,0,8
5,0140.b3.txt,2690.7,645.43,578.37,276.61,5,0,2
6,1097.b3.txt,1589.15,833.33,901.16,528.1,13,1,10
7,1069.b3.txt,1456.25,704.64,651.79,396.36,36,1,24
8,1533.b3.txt,1708.3,890.41,705.08,338.44,8,0,15
9,0308.b3.txt,1762.48,897.03,840.18,701.2,4,1,4
10,1532.b3.txt,1622.66,844.94,662.51,364.86,16,3,19
11,0122.b3.txt,1400.1,792.03,597.85,260.6,14,2,14
12,1102.b3.txt,1678.89,703.81,916.42,432.55,4,4,4
13,1534.b3.txt,1704.04,829.6,968.61,497.76,13,0,9
14,1057.b3.txt,1802.85,947.95,648.44,366.39,19,1,15
15,0130.b3.txt,1579.75,756.65,690.18,424.34,11,5,12
16,1023.b3.txt,1262.76,720.66,765.31,446.43,8,0,7
17,1082.b3.txt,2104.92,673.58,884.07,317.36,13,2,17
18,0103.b3.txt,1858.7,559.29,588.73,243.9,19,1,39
19,0171.b3.txt,1618.75,787.5,812.5,312.5,11,0,19
20,0133.b3.txt,1309.47,765.75,557.32,357.95,38,4,19
21,2034.b3.txt,1425.58,1137.32,602.73,393.08,14,0,11
22,0304.b3.txt,1696.49,837.51,608.45,436.65,6,4,9
23,1100.b3.txt,1619.87,741.54,655.15,302.38,15,2,3
24,0300.b3.txt,1596.64,840.34,800.79,291.65,23,1,14
25,0307.b3.txt,1616.6,737.3,764.61,229.38,12,4,20
26,0200.b3.txt,1786.18,801.83,834.42,417.21,9,0,4
27,0139.b3.txt,1959.06,836.26,836.26,362.57,10,1,8
28,0134.b3.txt,1560.69,936.42,803.47,809.25,11,0,10
29,0310.b3.txt,1748.57,716.63,802.62,561.02,22,6,11
30,1508.b3.txt,1546.39,880.97,641.99,309.28,18,1,19
31,2018.b3.txt,1778.68,1025.49,672.07,295.48,11,0,13
32,1536.b3.txt,1825.95,742.12,678.06,464.5,13,3,6
33,1066.b3.txt,1708.86,880.8,954.64,427.22,10,0,8
34,1520.b3.txt,1178.33,772.01,528.22,284.42,20,1,29
