task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load and clean data,2024-05-22T09:49:15,portfolio 3,ed4368c3-6e52-412f-96f4-7eb28a181cfa,1.6583430767059326,1.5261962747096595e-05,9.201325893787355e-06,42.5,0.0,141.20075225830078,1.9579226275285086e-05,0,6.501301367359247e-05,8.459223994887756e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load model,2024-05-22T09:49:35,portfolio 3,ed4368c3-6e52-412f-96f4-7eb28a181cfa,20.222294330596924,0.00018614110548920444,9.205668897082357e-06,42.5,0.0,141.20075225830078,0.00023870870520671208,0,0.0007930126612268167,0.001031721366433529,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
expand query,2024-05-22T09:49:35,portfolio 3,ed4368c3-6e52-412f-96f4-7eb28a181cfa,0.22111010551452637,2.0174816395430995e-06,9.172019920919877e-06,42.5,0.0,141.20075225830078,2.594202425744809e-06,0,8.588061203954576e-06,1.118226362969944e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
calculate percentage,2024-05-22T09:49:35,portfolio 3,ed4368c3-6e52-412f-96f4-7eb28a181cfa,0.06945919990539551,6.302887356396988e-07,9.10579790457019e-06,42.5,0.0,141.20075225830078,8.147860566775082e-07,0,2.678705366793068e-06,3.493491423470522e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
