task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load and clean data,2024-05-22T09:46:27,portfolio 3,8bc6a6ce-ab46-425b-8639-322993f520d5,1.71429443359375,1.5756140328822563e-05,9.200188888132117e-06,42.5,0.0,141.20075225830078,2.0215587980217407e-05,0,6.71157222483771e-05,8.73313102285945e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load model,2024-05-22T09:46:47,portfolio 3,8bc6a6ce-ab46-425b-8639-322993f520d5,20.374618768692017,0.00018743330019772085,9.205657811170737e-06,42.5,0.0,141.20075225830078,0.00024036612560351692,0,0.0007985174680385853,0.0010388835936421023,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
expand query,2024-05-22T09:46:47,portfolio 3,8bc6a6ce-ab46-425b-8639-322993f520d5,0.08142590522766113,7.375934072705633e-07,9.114720177505997e-06,42.5,0.0,141.20075225830078,9.530648589134222e-07,0,3.135182473783943e-06,4.088247332697257e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
calculate percentage,2024-05-22T09:46:48,portfolio 3,8bc6a6ce-ab46-425b-8639-322993f520d5,0.16561222076416016,1.5147263758709503e-06,9.162183412055976e-06,42.5,0.0,141.20075225830078,1.9492644402716052e-06,0,6.446385527419788e-06,8.395649967691448e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
