task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load and clean data,2024-05-22T09:47:27,portfolio 3,ef21cdf4-8401-409e-8235-48ec601e9533,1.582298755645752,1.4539562429631718e-05,9.199449640731872e-06,42.5,0.0,141.20075225830078,1.8656199508243136e-05,0,6.193200360692117e-05,8.058820311516432e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load model,2024-05-22T09:47:47,portfolio 3,ef21cdf4-8401-409e-8235-48ec601e9533,20.003302574157715,0.00018413310468229572,9.205872769695803e-06,42.5,0.0,141.20075225830078,0.00023612879564364754,0,0.0007844628564215327,0.0010205916520651802,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
expand query,2024-05-22T09:47:47,portfolio 3,ef21cdf4-8401-409e-8235-48ec601e9533,0.2423694133758545,2.1906817791552443e-06,9.138816408836429e-06,42.5,0.0,141.20075225830078,2.823462420039702e-06,0,9.31879488884986e-06,1.2142257308889615e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
calculate percentage,2024-05-22T09:47:47,portfolio 3,ef21cdf4-8401-409e-8235-48ec601e9533,0.05235624313354492,4.866055297809751e-07,9.123332185931112e-06,42.5,0.0,141.20075225830078,6.282160679499577e-07,0,2.0688847190058817e-06,2.697100786955677e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
