task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load vectorized data,2024-05-21T12:24:36,portfolio 2,1d44025b-ba12-43d4-8c3c-454460850cf0,0.017343997955322266,2.376914465619124e-07,1.0035939772095426e-05,62.5,0.0,141.20075225830078,4.089830650223626e-07,0,9.084655629521876e-07,1.3174486279745501e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Define classifier,2024-05-21T12:24:36,portfolio 2,1d44025b-ba12-43d4-8c3c-454460850cf0,0.0014100074768066406,9.347923872069492e-09,7.787097217143309e-06,62.5,0.0,141.20075225830078,1.932597822613188e-08,0,3.248661182624341e-08,5.1812590052375446e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
GridSearch,2024-05-21T12:25:17,portfolio 2,1d44025b-ba12-43d4-8c3c-454460850cf0,41.046321630477905,0.000418973371546166,1.0208327097289988e-05,62.5,0.0,141.20075225830078,0.0007125370990898874,0,0.0016096999922544683,0.0023222370913443557,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Fit classifier,2024-05-21T12:25:18,portfolio 2,1d44025b-ba12-43d4-8c3c-454460850cf0,0.28488922119140625,2.9001020955326737e-06,1.0191831241747836e-05,62.5,0.0,141.20075225830078,4.937988188531651e-06,0,1.1136361906983463e-05,1.6074350095515114e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Evaluate classifier,2024-05-21T12:25:18,portfolio 2,1d44025b-ba12-43d4-8c3c-454460850cf0,0.054174184799194336,5.52529132025973e-07,1.0136666689585329e-05,62.5,0.0,141.20075225830078,9.442907240655996e-07,0,2.1182037721928677e-06,3.0624944962584673e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Permutation test,2024-05-21T12:25:29,portfolio 2,1d44025b-ba12-43d4-8c3c-454460850cf0,10.840696096420288,0.00011060221136565882,1.0207176457701052e-05,62.5,0.0,141.20075225830078,0.0001881130826142099,0,0.00042492004803605134,0.0006130331306502613,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
