task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load spacy model,2024-05-02T14:18:54,assignment 1,cf8786c8-77d3-4a32-9d56-8fc20a39c656,1.6084935665130615,1.5011517818859153e-05,9.20360292848811e-06,42.5,0.0,141.20075225830078,1.9254132608572644e-05,0,6.394997019081074e-05,8.320410279938338e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
"load data, process text, and save results",2024-05-02T14:22:22,assignment 1,cf8786c8-77d3-4a32-9d56-8fc20a39c656,208.23842024803162,0.0019170961826897408,9.206343439273238e-06,42.5,0.0,141.20075225830078,0.0024583454165193774,0,0.008167513326453832,0.01062585874297321,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
plot results,2024-05-02T14:22:23,assignment 1,cf8786c8-77d3-4a32-9d56-8fc20a39c656,1.196526050567627,1.0997588495188998e-05,9.202928158526756e-06,42.5,0.0,141.20075225830078,1.4106472829977703e-05,0,4.684968728258833e-05,6.0956160112566465e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
