task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load vectorized data,2024-05-21T12:37:19,portfolio 2,76568b69-b7e9-47f9-bd46-3840529b3c7e,0.015570402145385742,1.7567788576383266e-07,9.99710279991841e-06,62.5,0.0,141.20075225830078,3.0315998527738785e-07,0,6.705670583869506e-07,9.737270436643386e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Define classifier,2024-05-21T12:37:19,portfolio 2,76568b69-b7e9-47f9-bd46-3840529b3c7e,0.0009741783142089844,7.960602971223899e-09,7.74691157415691e-06,62.5,0.0,141.20075225830078,1.6424391004774332e-08,0,2.7698717394741885e-08,4.412310839951611e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
GridSearch,2024-05-21T12:43:18,portfolio 2,76568b69-b7e9-47f9-bd46-3840529b3c7e,358.4445946216583,0.003659163306296063,1.0208654076028912e-05,62.5,0.0,141.20075225830078,0.006222865734663275,0,0.014058720949016083,0.02028158668367936,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Fit classifier,2024-05-21T12:45:47,portfolio 2,76568b69-b7e9-47f9-bd46-3840529b3c7e,149.49119567871094,0.0015253291022396089,1.0203750795669071e-05,62.5,0.0,141.20075225830078,0.002594022759132915,0,0.005860394772596783,0.008454417531729697,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Evaluate classifier,2024-05-21T12:45:47,portfolio 2,76568b69-b7e9-47f9-bd46-3840529b3c7e,0.25238776206970215,2.586740756259885e-06,1.0194278673530638e-05,62.5,0.0,141.20075225830078,4.40383123026869e-06,0,9.933655917688383e-06,1.4337487147957073e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Permutation test,2024-05-21T12:49:22,portfolio 2,76568b69-b7e9-47f9-bd46-3840529b3c7e,214.86622309684753,0.002193471771898001,1.0208629171658134e-05,62.5,0.0,141.20075225830078,0.003730280639396774,0,0.008427440718217213,0.01215772135761399,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
