task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load and clean data,2024-05-22T09:54:36,portfolio 3,4c124d2c-3de4-43fd-b9fb-2a4249734c0b,1.5588219165802002,1.432729446052383e-05,9.201918641154276e-06,42.5,0.0,141.20075225830078,1.837954620520274e-05,0,6.1032122589062966e-05,7.94116687942657e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load model,2024-05-22T09:54:57,portfolio 3,4c124d2c-3de4-43fd-b9fb-2a4249734c0b,20.927666187286377,0.00019263626317561297,9.20575604005145e-06,42.5,0.0,141.20075225830078,0.00024703600340419344,0,0.0008206859709864602,0.0010677219743906534,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
expand query,2024-05-22T09:54:57,portfolio 3,4c124d2c-3de4-43fd-b9fb-2a4249734c0b,0.3437809944152832,3.036185343465445e-06,9.039531686589496e-06,42.5,0.0,141.20075225830078,3.904228574699853e-06,0,1.2924387990528906e-05,1.682861656522876e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
calculate percentage,2024-05-22T09:54:58,portfolio 3,4c124d2c-3de4-43fd-b9fb-2a4249734c0b,0.1376943588256836,1.3480209084557678e-06,9.175146152043082e-06,42.5,0.0,141.20075225830078,1.73304478327433e-06,0,5.7386094222693e-06,7.471654205543684e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
