task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load and clean data,2024-05-22T09:57:57,portfolio 3,56c7a0e9-48d5-4d3f-bb2a-9804e178d31c,1.778120756149292,1.6352610067994083e-05,9.198428830290878e-06,42.5,0.0,141.20075225830078,2.0984571013185717e-05,0,6.965278262111951e-05,9.063735363430524e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load model,2024-05-22T09:58:17,portfolio 3,56c7a0e9-48d5-4d3f-bb2a-9804e178d31c,20.204030990600586,0.00018594190728330349,9.205459940573602e-06,42.5,0.0,141.20075225830078,0.00023845746550295088,0,0.0007921598081798493,0.0010306172736828003,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
expand query,2024-05-22T09:58:18,portfolio 3,56c7a0e9-48d5-4d3f-bb2a-9804e178d31c,0.5087711811065674,3.838613787000405e-06,9.192000694965078e-06,42.5,0.0,141.20075225830078,4.928276439507804e-06,0,1.6347947590247694e-05,2.1276224029755444e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
calculate percentage,2024-05-22T09:58:18,portfolio 3,56c7a0e9-48d5-4d3f-bb2a-9804e178d31c,0.04262399673461914,3.8825345514419845e-07,9.10304610027968e-06,42.5,0.0,141.20075225830078,5.019755827055769e-07,0,1.6499907130309785e-06,2.151966295736501e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
