task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load and clean data,2024-05-22T09:56:03,portfolio 3,ec45ad94-0e8f-4819-b83c-f0a84cf1cd8d,1.7206385135650635,1.5820911452486274e-05,9.201474476025351e-06,42.5,0.0,141.20075225830078,2.0296858582231736e-05,0,6.739345753082944e-05,8.769031611306118e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load model,2024-05-22T09:56:23,portfolio 3,ec45ad94-0e8f-4819-b83c-f0a84cf1cd8d,19.60962724685669,0.00018049914129586388,9.205777340204696e-06,42.5,0.0,141.20075225830078,0.00023147079447905227,0,0.0007689789461004012,0.0010004497405794535,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
expand query,2024-05-22T09:56:23,portfolio 3,ec45ad94-0e8f-4819-b83c-f0a84cf1cd8d,0.35729146003723145,3.2306836123792773e-06,9.176916146977854e-06,42.5,0.0,141.20075225830078,4.153703484270307e-06,0,1.3752955565155336e-05,1.7906659049425752e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
calculate percentage,2024-05-22T09:56:23,portfolio 3,ec45ad94-0e8f-4819-b83c-f0a84cf1cd8d,0.04868936538696289,1.2980666276254005e-06,9.167283009570112e-06,42.5,0.0,141.20075225830078,1.6692813899781998e-06,0,5.52549201192961e-06,7.194773401907701e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
