task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load and clean data,2024-05-27T11:15:43,assignment 3,ea14da68-5219-486c-9582-da3dee821c35,1.324230670928955,1.3579104534258621e-05,1.0204945446209698e-05,62.5,0.0,141.20075225830078,2.3099680741628012e-05,0,5.216500756141613e-05,7.526468830304415e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load model,2024-05-27T11:15:58,assignment 3,ea14da68-5219-486c-9582-da3dee821c35,14.513766050338745,0.0001481381878139156,1.0208134842433705e-05,62.5,0.0,141.20075225830078,0.00025193800114923056,0,0.0005691451935093709,0.0008210831946586015,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
expand query,2024-05-27T11:15:59,assignment 3,ea14da68-5219-486c-9582-da3dee821c35,1.6246051788330078,1.6565899690565444e-05,1.0205823393955215e-05,62.5,0.0,141.20075225830078,2.8177988198068403e-05,0,6.364156245965656e-05,9.181955065772508e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
calculate percentage,2024-05-27T11:15:59,assignment 3,ea14da68-5219-486c-9582-da3dee821c35,0.02406597137451172,2.409815534544393e-07,1.004791480103157e-05,62.5,0.0,141.20075225830078,4.143516222635999e-07,0,9.213330292368645e-07,1.3356846515005186e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save results,2024-05-27T11:15:59,assignment 3,ea14da68-5219-486c-9582-da3dee821c35,0.005716800689697266,5.503336177994423e-08,9.65357573698579e-06,62.5,0.0,141.20075225830078,9.729216496150422e-08,0,2.0774038046061406e-07,3.0503254542200986e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
visualise query,2024-05-27T11:16:02,assignment 3,ea14da68-5219-486c-9582-da3dee821c35,2.23425555229187,2.278499540322884e-05,1.0204895947985896e-05,62.5,0.0,141.20075225830078,3.8758561842971355e-05,0,8.753147242871362e-05,0.00012629003427168492,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
