task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load spacy model,2024-05-27T09:57:55,assignment 1,2dc948dc-e99f-4cb6-938a-8b23bda5f820,2.2040181159973145,2.0289564771416986e-05,9.19904480638292e-06,42.5,0.0,141.20075225830078,2.603592144118415e-05,0,8.642272886763749e-05,0.00011245865030882164,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
"load data, process text, and save results",2024-05-27T10:02:14,assignment 1,2dc948dc-e99f-4cb6-938a-8b23bda5f820,259.6277186870575,0.0023902108735322676,9.206349138788867e-06,42.5,0.0,141.20075225830078,0.0030650320114360917,0,0.010183152058514064,0.013248184069950156,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
plot results,2024-05-27T10:02:16,assignment 1,2dc948dc-e99f-4cb6-938a-8b23bda5f820,1.26615309715271,1.1645404894481022e-05,9.2035580008851e-06,42.5,0.0,141.20075225830078,1.4936612877580833e-05,0,4.9610188963038204e-05,6.45468018406186e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
