task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load and clean data,2024-05-22T09:45:30,portfolio 3,6c23f742-26f5-4dca-bc19-598fcad53737,1.528632402420044,1.4041659504293482e-05,9.200060645195663e-06,42.5,0.0,141.20075225830078,1.801595638195674e-05,0,5.9812528050269976e-05,7.782848443222671e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load model,2024-05-22T09:45:51,portfolio 3,6c23f742-26f5-4dca-bc19-598fcad53737,21.070300102233887,0.0001938085544739745,9.20556656391613e-06,42.5,0.0,141.20075225830078,0.00024854390041695703,0,0.0008256757144439463,0.0010742196148609032,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
expand query,2024-05-22T09:45:51,portfolio 3,6c23f742-26f5-4dca-bc19-598fcad53737,0.08835244178771973,7.704815401128595e-07,9.116496199021466e-06,42.5,0.0,141.20075225830078,9.947838054762907e-07,0,3.2757520618588182e-06,4.270535867335109e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
calculate percentage,2024-05-22T09:45:51,portfolio 3,6c23f742-26f5-4dca-bc19-598fcad53737,0.14972281455993652,2.1705795523446877e-06,9.179896443339517e-06,42.5,0.0,141.20075225830078,2.7893965442975103e-06,0,9.24144046944098e-06,1.2030837013738598e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
