task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load and clean data,2024-05-22T09:42:20,portfolio 3,4f2d3e38-c851-4c0d-b911-2e01f4d94687,1.8014183044433594,1.6570473043898038e-05,9.199380038270355e-06,42.5,0.0,141.20075225830078,2.1262479656272465e-05,0,7.0582419654761e-05,9.184489931103346e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load model,2024-05-22T09:42:40,portfolio 3,4f2d3e38-c851-4c0d-b911-2e01f4d94687,20.355589389801025,0.00018725236256758324,9.2056629645811e-06,42.5,0.0,141.20075225830078,0.00024013452662361996,0,0.0007977461868727232,0.001037880713496343,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
expand query,2024-05-22T09:42:41,portfolio 3,4f2d3e38-c851-4c0d-b911-2e01f4d94687,0.2553446292877197,1.6010279403232326e-06,9.163252407359718e-06,42.5,0.0,141.20075225830078,2.0601171586248873e-06,0,6.81387512775015e-06,8.8739922863752e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
calculate percentage,2024-05-22T09:42:41,portfolio 3,4f2d3e38-c851-4c0d-b911-2e01f4d94687,0.07288122177124023,6.885305011451195e-07,9.11350671567012e-06,42.5,0.0,141.20075225830078,8.893887201944992e-07,0,2.9269184173699248e-06,3.816307137564532e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
