,Filename,Nouns_Relative_Freq,Verbs_Relative_Freq,Adverbs_Relative_Freq,No_unique_per,No_unique_loc,No_unique_org
0,1105.a2.txt,1872.15,1084.47,536.53,0,0,0
1,4009.a2.txt,1713.69,1212.12,376.18,0,0,0
2,0128.a2.txt,1832.95,997.68,556.84,2,0,4
3,0107.a2.txt,1607.75,1311.29,535.92,2,0,3
4,1104.a2.txt,1970.8,1094.89,413.63,1,0,0
5,4001.a2.txt,1725.83,1321.91,489.6,0,0,0
6,4013.a2.txt,2016.55,1127.2,413.65,2,0,0
7,3018.a2.txt,2004.38,1182.91,613.36,1,0,2
8,0232.a2.txt,1573.03,1248.44,711.61,0,0,0
9,0219.a2.txt,1536.64,1264.78,638.3,0,0,0
10,1005.a2.txt,1678.97,968.63,562.73,32,0,6
11,0221.a2.txt,2126.82,1017.17,317.04,0,0,2
12,0235.a2.txt,2250.92,1230.01,479.7,0,0,2
13,1098.a2.txt,1721.22,1298.84,380.15,4,0,2
14,0205.a2.txt,1997.96,1019.37,448.52,3,0,5
15,5047.a2.txt,2018.45,1222.61,530.57,0,0,0
16,4023.a2.txt,1522.31,1430.45,485.56,1,0,0
17,2013.a2.txt,2086.33,863.31,599.52,0,0,2
18,0191.a2.txt,1815.11,1273.96,484.78,0,0,12
19,5045.a2.txt,1983.17,973.56,420.67,1,16,4
20,1097.a2.txt,2083.33,1071.43,440.48,1,0,2
21,2055.a2.txt,1904.76,1165.41,350.88,0,0,1
22,2072.a2.txt,1919.06,1135.77,587.47,0,0,0
23,2012.a2.txt,1778.61,1119.4,621.89,0,0,1
24,0105.a2.txt,1761.01,1245.28,578.62,0,0,2
25,3041.a2.txt,2227.43,1090.27,269.64,1,1,2
26,2031.a2.txt,1834.65,1053.23,634.2,0,0,1
27,1090.a2.txt,1961.38,1209.35,508.13,0,0,3
28,5039.a2.txt,1812.42,937.9,418.25,1,1,15
29,4048.a2.txt,2136.54,884.96,518.33,1,0,0
30,0167.a2.txt,1753.6,935.25,602.52,0,0,1
31,0103.a2.txt,1919.43,1208.53,391.0,0,0,1
32,2068.a2.txt,1955.45,1150.99,705.45,2,0,0
33,5022.a2.txt,1865.28,906.74,544.04,0,0,0
34,0118.a2.txt,1737.93,1420.69,427.59,1,0,1
35,0102.a2.txt,1812.8,1125.59,675.36,0,1,1
36,0162.a2.txt,1992.29,1208.23,359.9,0,0,0
37,4035.a2.txt,2105.98,1209.24,652.17,0,0,2
38,2038.a2.txt,2056.92,944.37,465.72,1,0,2
39,5027.a2.txt,1415.82,1109.69,471.94,0,0,0
40,0135.a2.txt,1831.8,1013.82,506.91,1,0,3
41,0136.a2.txt,1987.8,1158.54,304.88,0,0,0
42,1094.a2.txt,1605.67,1263.28,625.74,0,0,0
43,2024.a2.txt,1693.65,1257.78,485.68,0,0,1
44,1065.a2.txt,1675.68,1108.11,729.73,1,0,0
45,3067.a2.txt,1943.73,1112.53,358.06,1,14,0
46,0100.a2.txt,2084.85,1284.85,351.52,1,0,2
47,1006.a2.txt,1662.57,1048.32,442.26,1,0,2
48,1009.a2.txt,1995.36,1171.69,313.23,0,2,0
49,1121.a2.txt,1582.89,1026.74,513.37,3,0,1
50,5008.a2.txt,2195.45,1070.95,455.15,0,0,0
51,2061.a2.txt,2087.77,957.45,585.11,0,0,0
52,0171.a2.txt,1810.34,1046.8,455.67,1,0,1
53,1050.a2.txt,1892.82,912.2,513.11,1,0,0
54,5032.a2.txt,2132.45,1046.36,569.54,0,1,0
55,0189.a2.txt,1711.41,872.48,436.24,1,2,3
56,1020.a2.txt,1724.41,1244.09,527.56,0,0,3
57,3036.a2.txt,2299.47,1163.1,374.33,0,0,0
58,0201.a2.txt,1461.43,825.44,324.76,0,0,9
59,2045.a2.txt,1799.59,1042.94,449.9,1,1,3
60,0143.a2.txt,1963.52,1115.88,418.45,0,0,0
61,0196.a2.txt,1981.88,1245.75,317.1,0,0,0
62,5025.a2.txt,1867.39,1041.95,676.59,5,0,0
63,0185.a2.txt,1728.25,1108.46,441.0,0,1,0
64,0203.a2.txt,1712.25,927.47,582.64,1,0,1
65,2019.a2.txt,1555.89,1450.15,332.33,2,0,0
66,0120.a2.txt,1898.09,1184.71,535.03,0,3,0
67,4002.a2.txt,2177.88,1106.04,364.88,0,0,0
68,1026.a2.txt,1491.97,1384.85,283.09,0,0,1
69,0190.a2.txt,1251.56,1339.17,650.81,0,0,0
70,0106.a2.txt,1664.68,1117.72,535.08,0,1,1
71,0199.a2.txt,1911.76,1078.43,355.39,0,0,0
72,1058.a2.txt,2199.71,1215.63,651.23,0,0,4
73,0214.a2.txt,1916.1,963.72,589.57,1,1,1
74,2005.a2.txt,2036.84,1180.93,465.87,1,0,2
75,1103.a2.txt,1832.34,1161.68,610.78,0,0,0
76,5016.a2.txt,1719.65,1228.32,187.86,0,0,0
77,3033.a2.txt,1899.11,1266.07,445.1,3,0,2
78,1036.a2.txt,1672.86,1245.35,557.62,0,1,4
79,1070.a2.txt,1866.2,1126.76,539.91,0,1,1
80,0198.a2.txt,1860.8,1008.52,355.11,1,0,0
81,1100.a2.txt,1861.36,1360.72,577.66,1,1,1
82,1062.a2.txt,2067.42,1022.47,438.2,0,0,1
83,2057.a2.txt,1786.24,1127.38,585.65,0,1,0
84,1060.a2.txt,1398.26,925.75,617.16,14,1,4
85,0200.a2.txt,1643.99,1303.85,555.56,0,2,18
86,2048.a2.txt,1773.13,969.16,517.62,0,0,2
87,1041.a2.txt,1676.72,1375.15,470.45,2,0,3
88,4039.a2.txt,1508.2,1163.93,409.84,2,0,0
89,2007.a2.txt,1803.46,1015.12,442.76,11,0,12
90,0137.a2.txt,1692.13,1210.34,587.54,0,0,1
91,0146.a2.txt,1586.13,1418.07,493.7,0,0,0
92,1067.a2.txt,2324.72,1254.61,455.1,0,0,2
93,5040.a2.txt,2079.08,1198.98,548.47,0,0,2
94,5007.a2.txt,2053.14,1014.49,241.55,1,0,0
95,3020.a2.txt,2088.68,886.81,326.72,2,1,0
96,1068.a2.txt,1555.02,1028.71,334.93,0,1,26
97,4015.a2.txt,2191.94,983.41,402.84,0,0,2
98,4017.a2.txt,1933.12,888.19,700.1,2,0,2
99,4011.a2.txt,2081.69,1304.35,434.78,1,0,2
100,5005.a2.txt,1739.13,1116.33,446.53,0,0,0
101,0176.a2.txt,2156.08,925.93,423.28,0,0,0
102,0168.a2.txt,2285.17,1274.79,434.37,2,3,0
103,0177.a2.txt,1500.56,985.44,571.11,0,2,1
104,4016.a2.txt,1554.25,1392.96,366.57,0,0,0
105,1048.a2.txt,2059.93,1123.6,440.07,0,0,1
106,4028.a2.txt,1893.56,1262.38,569.31,1,0,1
107,2049.a2.txt,1631.88,1081.59,645.16,0,1,5
108,2074.a2.txt,2030.52,938.97,504.69,2,6,11
109,2042.a2.txt,1812.08,1073.83,550.34,0,0,0
110,4006.a2.txt,2090.68,994.96,390.43,0,0,1
111,2032.a2.txt,2054.6,1206.9,531.61,0,0,0
112,3012.a2.txt,1495.45,1131.34,533.16,0,0,1
113,0161.a2.txt,2111.37,1125.29,522.04,0,1,12
114,5006.a2.txt,2106.02,1031.52,329.51,0,0,11
115,2060.a2.txt,1636.11,1241.18,606.49,0,0,1
116,0236.a2.txt,1536.64,1111.11,496.45,0,0,0
117,2014.a2.txt,1941.92,1107.08,526.32,0,1,3
118,5041.a2.txt,1829.27,1273.71,420.05,0,0,0
119,0222.a2.txt,1926.49,1153.36,392.9,3,11,2
120,5036.a2.txt,2104.58,1032.68,287.58,0,0,0
121,3072.a2.txt,1859.96,973.74,601.75,1,0,0
122,0169.a2.txt,1831.98,1123.48,526.32,1,0,1
123,0202.a2.txt,2094.43,1355.93,338.98,0,0,1
124,0224.a2.txt,1732.1,1085.45,357.97,16,0,1
125,5029.a2.txt,1921.12,1208.65,470.74,1,0,1
126,4041.a2.txt,1727.57,1461.79,409.75,0,0,0
127,1017.a2.txt,1797.95,881.85,496.58,8,2,10
128,2021.a2.txt,1807.51,1021.13,680.75,0,0,0
129,0180.a2.txt,1982.38,1167.4,605.73,1,0,0
130,5026.a2.txt,1688.47,1022.59,606.42,0,2,14
131,0178.a2.txt,1942.52,1110.01,693.76,1,0,0
132,0223.a2.txt,1915.55,1009.27,257.47,0,5,8
133,0195.a2.txt,1262.02,1057.69,480.77,1,6,25
134,4024.a2.txt,1780.66,978.77,601.42,0,0,0
135,0139.a2.txt,1795.21,1183.51,571.81,0,0,0
136,0138.a2.txt,1847.13,1248.41,445.86,0,0,1
137,2035.a2.txt,1682.44,1240.8,536.28,1,0,0
138,2036.a2.txt,1657.7,1248.65,505.92,0,0,0
139,4003.a2.txt,1850.44,1356.15,430.93,0,0,0
140,2063.a2.txt,1636.36,1151.52,651.52,0,0,0
141,0207.a2.txt,1830.24,1246.68,477.45,0,0,0
142,0122.a2.txt,1843.19,1059.15,467.68,1,0,6
143,0234.a2.txt,2015.31,931.12,625.0,2,0,2
144,2022.a2.txt,1421.25,729.83,345.71,5,0,20
145,4014.a2.txt,2130.54,899.01,492.61,2,0,4
146,2040.a2.txt,1930.42,1099.89,404.04,6,0,4
147,0188.a2.txt,1588.79,1051.4,443.93,1,0,2
148,2018.a2.txt,2388.76,1065.57,433.26,3,0,1
149,0182.a2.txt,1644.63,975.21,454.55,4,1,33
150,5003.a2.txt,1873.35,1042.22,633.25,0,0,1
151,2015.a2.txt,1956.24,759.33,296.01,2,0,0
152,4040.a2.txt,1689.79,1071.88,441.36,1,0,0
153,3023.a2.txt,1687.19,1293.1,455.67,0,0,0
154,3003.a2.txt,2054.79,948.37,410.96,0,0,3
155,5002.a2.txt,1492.86,1240.4,504.94,0,2,1
156,5048.a2.txt,1594.2,1268.12,555.56,0,0,0
157,0208.a2.txt,1686.31,1305.53,553.04,6,0,0
158,0238.a2.txt,1844.06,1250.0,495.05,0,0,0
159,4004.a2.txt,2225.03,1112.52,417.19,0,0,0
160,0206.a2.txt,1844.78,1055.98,547.07,1,1,0
161,4008.a2.txt,1583.07,1144.2,783.7,0,0,0
