,Filename,Nouns_Relative_Freq,Verbs_Relative_Freq,Adverbs_Relative_Freq,No_unique_per,No_unique_loc,No_unique_org
0,0139.b4.txt,1515.35,1074.77,307.08,58,0,11
1,1100.b4.txt,1512.75,1055.41,299.03,56,0,5
2,0165.b4.txt,1169.23,992.31,369.23,61,0,10
3,1532.b4.txt,1199.71,1142.24,517.24,73,0,10
4,0140.b4.txt,1171.17,1122.03,466.83,73,0,10
5,0178.b4.txt,1535.99,1085.65,623.24,60,0,0
6,0318.b4.txt,1406.18,935.92,350.39,65,0,7
7,0107.b4.txt,1803.28,1233.07,242.34,35,0,6
8,0200.b4.txt,1236.26,947.8,714.29,44,0,4
9,0219.b4.txt,1531.37,913.28,415.13,38,0,3
10,0105.b4.txt,1209.54,1158.43,545.14,49,0,5
11,0310.b4.txt,1521.24,1102.18,396.1,52,0,4
12,1057.b4.txt,1440.36,1116.75,348.98,53,0,4
13,1069.b4.txt,1262.21,1164.5,700.33,53,0,7
14,0308.b4.txt,1361.7,1029.79,561.7,39,0,1
15,2030.b4.txt,1313.41,1153.58,416.96,57,0,9
16,1097.b4.txt,1480.76,1076.32,463.14,60,0,9
17,1112.b4.txt,1344.32,1204.82,418.52,61,0,11
18,1003.b4.txt,1570.47,1147.65,208.05,54,0,3
19,1023.b4.txt,1259.54,941.48,788.8,33,0,12
20,0158.b4.txt,1384.08,1197.23,560.55,37,0,1
21,2034.b4.txt,1316.38,867.61,359.01,55,0,14
22,1508.b4.txt,1297.1,1086.96,311.59,99,0,8
23,0103.b4.txt,1339.89,1135.5,454.2,59,0,4
24,2018.b4.txt,1243.9,1349.59,365.85,70,0,8
25,1528.b4.txt,1395.35,1136.21,524.92,52,0,11
26,1021.b4.txt,1377.74,1074.94,401.21,68,0,11
27,0300.b4.txt,1571.07,1105.57,332.5,34,0,13
28,1520.b4.txt,1286.76,962.01,404.41,82,0,4
