,Filename,Nouns_Relative_Freq,Verbs_Relative_Freq,Adverbs_Relative_Freq,No_unique_per,No_unique_loc,No_unique_org
0,0310.b1.txt,2027.65,956.22,633.64,5,0,4
1,1523.b1.txt,1230.55,1188.12,678.93,1,2,4
2,4507.b1.txt,2268.04,1294.39,504.01,2,0,1
3,3520.b1.txt,2414.83,891.78,601.2,0,1,0
4,0313.b1.txt,1711.52,1054.9,731.97,0,0,0
5,3508.b1.txt,1846.47,840.25,560.17,3,9,1
6,1081.b1.txt,1914.67,1123.83,499.48,2,0,3
7,0134.b1.txt,1988.89,1000.0,655.56,0,0,0
8,3514.b1.txt,2074.93,1008.65,403.46,8,0,1
9,1100.b1.txt,1981.51,1070.01,554.82,0,0,0
10,4012.b1.txt,2240.44,961.75,666.67,1,0,0
11,1006.b1i.txt,2020.79,946.88,519.63,0,2,8
12,0105.b1.txt,2002.74,1028.81,850.48,0,0,1
13,3018.b1.txt,1935.87,1223.28,522.57,2,0,1
14,2030.b1.txt,1716.79,1015.04,639.1,1,0,0
15,1532.b1.txt,2173.38,842.49,439.56,1,0,7
16,3506.b1.txt,2279.07,918.6,313.95,0,0,7
17,3525.b1.txt,1749.23,1191.95,356.04,1,0,2
18,2034.b1.txt,1865.08,965.61,568.78,5,0,2
19,3503.b1.txt,2392.55,802.29,372.49,0,0,0
20,4503.b1.txt,1868.81,1089.11,371.29,2,2,2
21,0140.b1.txt,2151.59,1014.67,537.9,1,0,0
22,1528.b1.txt,1995.86,1075.49,268.87,10,0,5
23,0103.b1.txt,2039.05,1008.68,238.61,2,0,3
24,2042.b1.txt,1631.64,1161.93,605.69,2,0,7
25,2070.b1.txt,2035.5,1065.09,437.87,3,0,2
26,1520.b1.txt,1968.91,953.37,518.13,0,4,2
27,1003.b1.txt,2075.47,954.5,455.05,6,0,6
28,1023.b1.txt,1799.79,851.97,798.72,1,0,5
29,3505.b1.txt,1626.19,1140.44,739.18,2,0,4
30,2070.b1i.txt,2016.51,1061.32,436.32,3,0,2
31,1006.b1.txt,2020.79,946.88,519.63,0,2,8
32,2019.b1.txt,1569.34,1240.88,571.78,5,0,0
33,1112.b1.txt,2082.02,1135.65,588.85,0,0,0
34,1069.b1.txt,1607.95,822.04,614.27,6,4,11
35,3522.b1.txt,2075.06,1147.9,463.58,3,0,4
36,1104.b1.txt,1853.87,937.84,545.26,5,0,7
37,0122.b1.txt,2122.97,1194.9,510.44,0,0,0
38,0200.b1.txt,2209.88,1049.38,814.81,0,1,3
39,2028.b1.txt,1724.58,1235.52,630.63,7,0,0
40,1508.b1.txt,2197.53,1148.15,555.56,0,0,0
41,3510.b1.txt,1845.67,886.34,396.25,4,1,12
42,0139.b1.txt,1891.28,1200.45,453.0,0,0,0
43,1097.b1.txt,1939.09,954.31,588.83,12,0,2
44,3523.b1.txt,2142.86,1082.25,508.66,0,0,9
45,2012.b1.txt,1810.93,1025.06,569.48,3,0,1
46,3504.b1.txt,2095.59,943.63,477.94,7,0,16
47,2066.b1.txt,1830.24,1326.26,384.62,18,0,0
48,2049.b1.txt,2142.08,983.61,513.66,5,0,4
49,4035.b1.txt,1560.47,1131.34,702.21,2,0,0
50,3511.b1.txt,1668.45,1176.47,695.19,0,0,0
51,3513.b1.txt,2150.21,1255.14,318.93,3,1,5
52,0307.b1.txt,2063.67,845.23,285.4,18,0,3
53,1057.b1.txt,1730.77,1221.15,692.31,0,1,0
54,3062.b1.txt,2296.65,897.13,502.39,0,0,0
55,3501.b1.txt,2300.65,954.25,418.3,3,2,2
56,2018.b1.txt,2204.08,959.18,479.59,0,5,8
57,1012.b1.txt,2178.22,952.97,396.04,0,0,0
58,0165.b1.txt,2019.76,954.99,592.76,9,0,0
59,1500.b1.txt,2254.55,860.61,533.33,1,0,7
60,1102.b1.txt,2277.9,968.11,466.97,0,0,4
61,3020.b1.txt,1899.38,1057.49,400.41,1,1,6
62,1021.b1.txt,1731.21,911.16,569.48,1,0,3
63,0300.b1.txt,1654.22,907.15,565.64,19,0,3
64,1104.b1i.txt,1853.87,937.84,545.26,5,0,7
65,3515.b1.txt,2283.37,1042.15,503.51,2,0,1
66,2032.b1.txt,1814.77,1214.02,613.27,4,0,0
67,2012.b1i.txt,1810.93,1025.06,569.48,3,0,1
68,1541.b1.txt,1997.28,801.63,570.65,1,1,1
69,0171.b1.txt,2071.61,997.44,575.45,3,0,0
70,4036.b1.txt,1742.51,998.89,477.25,4,0,1
71,3013.b1.txt,1960.57,1161.01,361.45,2,0,0
72,3519.b1.txt,1419.66,951.64,452.42,0,0,4
73,1066.b1.txt,1927.57,1004.67,595.79,1,0,3
74,2036.b1.txt,1719.94,1217.66,639.27,1,0,0
75,0308.b1.txt,1910.65,969.58,722.43,1,0,0
76,4038.b1.txt,2100.94,985.92,633.8,0,0,0
77,3518.b1.txt,1735.26,1067.85,656.28,5,0,0
78,3509.b1.txt,1786.12,1058.02,591.58,1,0,7
79,0304.b1.txt,1763.78,1291.34,614.17,1,0,0
