,Filename,Nouns_Relative_Freq,Verbs_Relative_Freq,Adverbs_Relative_Freq,No_unique_per,No_unique_loc,No_unique_org
0,0137.b7.txt,2102.67,957.55,345.51,7,2,2
1,0157.b7.txt,1270.4,1212.12,582.75,7,1,2
2,0186.b7.txt,1709.91,1084.91,636.79,0,0,1
3,0198.b7.txt,2017.01,1069.26,498.18,0,0,2
4,0223.b7.txt,1986.68,1032.19,443.95,0,0,1
5,0151.b7.txt,1927.41,1063.83,438.05,2,0,2
6,0106.b7.txt,1758.69,1247.44,511.25,0,1,0
7,0219.b7.txt,2087.05,993.3,580.36,1,1,0
8,0224.b7.txt,2092.39,1019.02,326.09,2,2,1
9,0185.b7.txt,1810.87,1146.88,613.68,5,0,0
10,0238.b7.txt,1684.32,1175.85,550.85,2,0,3
11,0107.b7.txt,1640.62,1071.43,535.71,0,1,11
12,0158.b7.txt,1821.35,1218.1,487.24,2,1,0
13,0318.b7.txt,2068.06,903.14,510.47,1,0,0
14,0178.b7.txt,1971.27,1013.57,710.3,6,0,6
