,Filename,Nouns_Relative_Freq,Verbs_Relative_Freq,Adverbs_Relative_Freq,No_unique_per,No_unique_loc,No_unique_org
0,3062.a4.txt,1729.13,954.0,485.52,16,0,4
1,2030.a4.txt,1395.55,1258.56,419.52,37,0,2
2,0158.a4.txt,1399.63,1086.56,561.69,23,0,1
3,2066.a4.txt,1678.74,1099.03,446.86,53,0,3
4,0238.a4.txt,1487.76,1299.44,310.73,30,0,1
5,2022.a4.txt,1473.95,1219.82,355.78,24,0,2
6,0202.a4.txt,1390.37,1454.55,192.51,7,0,12
7,2046.a4.txt,1397.13,1043.06,421.05,30,0,3
8,2011.a4.txt,1785.05,915.89,373.83,29,0,2
9,2058.a4.txt,1490.23,920.2,399.02,37,0,9
10,1065.a4.txt,1326.01,1182.43,396.96,43,0,1
11,0204.a4.txt,1478.06,1073.9,369.52,31,0,4
12,0219.a4.txt,1228.99,1186.97,619.75,24,0,6
13,1068.a4.txt,2137.77,962.0,237.53,17,0,6
14,0120.a4.txt,1263.79,1364.09,330.99,10,0,10
15,0188.a4.txt,1675.87,1003.68,460.41,12,0,2
16,0157.a4.txt,1389.76,1065.83,564.26,21,0,2
17,0102.a4.txt,1558.32,1108.99,344.17,38,0,16
18,1099.a4.txt,1457.73,1156.46,252.67,24,0,7
19,1013.a4.txt,1404.88,1073.17,302.44,24,0,0
20,0234.a4.txt,1631.13,980.81,522.39,10,0,11
21,0215.a4.txt,1725.24,942.49,311.5,12,0,11
22,2074.a4.txt,1447.49,1258.28,368.97,20,0,3
23,2057.a4.txt,1673.73,1122.88,550.85,37,0,1
24,1014.a4.txt,1382.11,1270.33,386.18,28,0,3
25,1034.a4.txt,1518.05,1114.65,573.25,34,0,5
26,1081.a4.txt,1561.64,1095.89,255.71,39,0,3
27,5009.a4.txt,1413.61,1014.4,320.68,39,0,1
28,0185.a4.txt,1630.77,1128.21,338.46,29,0,2
29,1050.a4.txt,1541.26,1189.32,400.49,19,0,4
30,4045.a4.txt,1518.03,1072.11,559.77,34,0,0
31,1008.a4.txt,1617.65,990.2,549.02,20,2,3
32,2075.a4.txt,1417.46,1028.52,440.8,48,0,4
33,1121.a4.txt,1568.1,1075.27,537.63,36,0,3
34,1074.a4.txt,1393.67,1040.72,452.49,31,0,3
35,0192.a4.txt,1781.97,1184.49,356.39,2,0,10
36,0171.a4.txt,1420.18,1008.81,342.8,36,0,4
37,0178.a4.txt,1733.0,1061.36,447.76,7,0,9
38,1003.a4.txt,1885.63,1051.0,293.66,7,0,4
39,0224.a4.txt,1319.23,1120.1,367.14,35,0,11
40,2031.a4.txt,1594.75,975.61,469.04,37,0,8
41,0216.a4.txt,1445.68,1300.26,290.85,52,0,13
42,0136.a4.txt,1356.44,1122.83,316.5,23,1,4
43,0105.a4.txt,1420.52,1138.67,721.53,9,0,3
44,2007.a4.txt,1405.62,1104.42,441.77,10,1,17
45,0165.a4.txt,1854.19,1008.1,396.04,7,0,17
46,0103.a4.txt,992.46,1183.98,296.0,36,0,4
47,2032.a4.txt,1595.74,1010.64,410.33,43,0,1
48,0139.a4.txt,1401.35,829.6,302.69,36,0,2
49,0111.a4.txt,1425.58,1215.93,387.84,7,0,10
50,1061.a4.txt,1448.73,1157.1,366.89,30,0,4
51,2018.a4.txt,1765.31,1020.41,438.78,22,0,3
52,3026.a4.txt,1539.02,1192.2,397.4,16,0,0
53,1095.a4.txt,1525.61,1135.86,579.06,28,0,0
54,0109.a4.txt,1663.6,1130.51,386.03,16,0,7
55,1100.a4.txt,1422.64,1100.73,425.75,6,0,23
56,0159.a4.txt,1560.35,1059.86,461.24,10,0,8
57,0176.a4.txt,1588.52,985.65,526.32,33,0,3
58,2017.a4.txt,1661.81,1059.28,427.6,19,0,0
59,2042.a4.txt,1457.73,1039.84,272.11,44,0,0
60,0193.a4.txt,1467.76,1035.67,253.77,16,0,19
61,2012.a4.txt,1625.41,1014.85,288.78,31,0,5
62,4023.a4.txt,1301.44,1129.19,555.02,26,1,0
63,1006.a4.txt,1926.0,825.43,455.41,21,0,1
64,0190.a4.txt,1338.83,1040.16,339.86,19,1,21
65,0237.a4.txt,1482.65,1198.74,462.67,7,0,1
66,2059.a4.txt,1518.38,996.13,386.85,25,0,4
67,0196.a4.txt,1243.24,1196.91,416.99,16,0,15
68,0175.a4.txt,1563.15,1066.25,403.73,45,0,4
69,1072.a4.txt,1572.94,920.95,407.5,27,0,3
70,2008.a4.txt,1304.35,1202.05,498.72,31,0,1
71,0156.a4.txt,1254.44,1266.27,449.7,9,0,12
72,0108.a4.txt,1449.28,1295.29,389.49,36,0,3
73,2076.a4.txt,1453.83,1168.96,451.87,34,0,1
74,0161.a4.txt,1634.24,1079.77,282.1,8,0,21
75,2044.a4.txt,1638.04,1083.22,303.83,23,1,3
76,2069.a4.txt,1383.2,1352.46,481.56,21,0,2
77,3001.a4.txt,1491.97,1293.67,481.59,27,0,0
78,2055.a4.txt,1453.61,969.07,350.52,39,0,0
79,2020.a4.txt,1380.71,1238.58,385.79,38,0,1
80,1048.a4.txt,1432.41,1307.07,564.01,39,0,3
81,1009.a4.txt,1694.17,1045.1,374.04,19,0,5
82,0168.a4.txt,1498.74,1020.15,472.29,53,0,21
83,3020.a4.txt,1422.68,1195.88,556.7,15,0,0
84,2015.a4.txt,1576.14,1033.01,489.88,18,1,8
85,0127.a4.txt,1236.87,1131.86,641.77,24,0,17
86,0218.a4.txt,1243.68,1162.79,212.34,29,2,1
87,0110.a4.txt,1788.99,1146.79,332.57,3,0,5
88,1010.a4.txt,1689.03,812.94,465.67,45,0,3
89,0214.a4.txt,1254.09,1297.71,599.78,13,0,6
90,0137.a4.txt,1772.43,984.68,393.87,14,0,8
91,1023.a4.txt,1684.78,815.22,471.01,29,1,4
92,3042.a4.txt,1299.09,1339.38,594.16,15,0,0
93,0198.a4.txt,1129.34,1129.34,357.14,27,0,23
94,2014.a4.txt,1359.31,1056.28,398.27,40,0,1
95,1043.a4.txt,1356.1,1043.9,478.05,46,0,1
96,0222.a4.txt,1675.28,1209.93,423.99,5,0,5
97,0177.a4.txt,1093.08,1400.51,512.38,10,0,11
98,2067.a4.txt,1290.32,1092.61,426.64,34,0,1
99,0128.a4.txt,1833.84,1094.22,385.01,3,0,7
100,0119.a4.txt,1549.89,1348.2,360.93,6,0,9
101,2061.a4.txt,1316.79,1011.45,353.05,23,1,10
102,1055.a4.txt,1470.59,996.2,417.46,32,3,2
103,0130.a4.txt,1628.55,988.11,494.05,31,0,11
104,2005.a4.txt,1615.99,1112.08,529.97,32,0,11
105,1076.a4.txt,1560.04,1042.94,289.22,28,1,1
106,4028.a4.txt,1462.17,1288.34,501.02,19,0,3
107,0107.a4.txt,1529.18,1307.85,432.6,13,0,8
108,0235.a4.txt,1461.62,1156.68,294.43,22,0,14
109,2071.a4.txt,1143.52,1143.52,443.41,45,0,0
110,2035.a4.txt,1458.94,1140.1,444.44,3,0,9
111,1103.a4.txt,1552.6,1031.66,490.3,19,0,7
112,1090.a4.txt,1488.79,1156.95,403.59,17,0,6
113,1070.a4.txt,1239.04,1239.04,668.86,11,0,5
114,1052.a4.txt,1360.95,1124.26,463.51,39,0,1
115,1032.a4.txt,1162.11,1269.53,546.88,38,1,1
116,0104.a4.txt,1495.33,1112.15,383.18,9,0,13
117,1017.a4.txt,1524.02,1043.54,540.54,5,0,19
118,2021.a4.txt,1420.18,1263.47,411.36,13,0,4
119,0169.a4.txt,1470.27,1264.86,345.95,9,0,1
120,2028.a4.txt,1724.14,1120.69,344.83,29,1,3
121,0206.a4.txt,1158.83,1037.28,421.39,9,0,19
122,0140.a4.txt,1411.76,1037.43,438.5,16,0,15
123,0199.a4.txt,1639.16,946.09,407.04,29,0,7
124,1022.a4.txt,1519.31,1167.38,480.69,14,0,11
125,4031.a4.txt,1273.63,1213.93,487.56,34,0,0
126,2048.a4.txt,1682.03,1029.19,330.26,33,0,4
127,4030.a4.txt,1347.58,1356.88,557.62,17,0,0
128,2039.a4.txt,1686.86,959.93,503.26,24,0,3
129,1012.a4.txt,1739.13,948.62,355.73,19,0,5
130,2040.a4.txt,1398.81,1259.92,347.22,16,0,9
131,0121.a4.txt,1390.06,1078.35,454.93,46,0,6
132,0197.a4.txt,1402.06,1206.19,402.06,33,0,5
133,4034.a4.txt,1379.31,1369.17,537.53,10,0,4
134,0187.a4.txt,1370.61,1326.75,328.95,5,0,18
135,2062.a4.txt,1229.59,1210.37,413.06,35,0,1
136,1067.a4.txt,1443.85,983.96,427.81,13,5,0
137,1049.a4.txt,1368.31,1286.01,493.83,24,0,3
138,1066.a4.txt,1710.26,955.73,291.75,27,0,2
139,1102.a4.txt,1404.72,1090.37,422.4,17,1,6
140,2065.a4.txt,1055.56,1175.93,407.41,14,0,8
141,1112.a4.txt,1447.62,1133.33,533.33,30,0,1
142,0205.a4.txt,1404.49,1059.39,465.49,36,0,9
143,0208.a4.txt,1022.57,1389.28,571.23,38,0,4
144,0223.a4.txt,1366.34,1366.34,386.14,14,0,11
145,1005.a4.txt,1558.55,977.25,387.53,28,0,4
146,2019.a4.txt,1533.74,1267.89,409.0,28,0,1
147,1057.a4.txt,1322.03,1186.44,406.78,14,0,24
148,0106.a4.txt,1387.0,1066.93,407.37,21,0,17
149,2000.a4.txt,1786.45,944.56,441.48,39,0,2
150,1018.a4.txt,1500.0,1201.61,427.42,33,0,7
151,0134.a4.txt,1310.86,992.51,346.44,16,0,0
152,0200.a4.txt,1474.56,1298.03,643.82,5,0,6
153,1088.a4.txt,1246.17,1235.96,326.86,39,0,1
154,1098.a4.txt,1383.65,1090.15,482.18,23,0,5
155,0135.a4.txt,1677.42,1000.0,569.89,31,0,4
156,1060.a4.txt,1661.47,924.2,332.29,23,0,0
157,2034.a4.txt,1455.7,1131.33,466.77,14,0,27
158,1064.a4.txt,1574.47,1038.3,434.04,30,0,3
159,0227.a4.txt,1738.46,1115.38,323.08,35,0,10
160,2064.a4.txt,1424.02,1179.6,350.69,42,0,0
161,0115.a4.txt,1872.95,843.37,514.79,16,0,24
162,2038.a4.txt,1740.93,974.09,414.51,27,0,3
163,2050.a4.txt,1434.34,1080.81,212.12,31,0,1
164,3037.a4.txt,1446.43,1089.29,398.81,51,1,10
165,2056.a4.txt,1314.07,1220.88,568.5,46,0,0
166,1094.a4.txt,1185.73,1175.24,587.62,28,2,1
167,1021.a4.txt,1626.02,1002.71,447.15,31,0,0
168,2024.a4.txt,1341.34,1221.22,490.49,39,0,1
169,0186.a4.txt,1523.61,1233.91,343.35,13,0,11
170,0112.a4.txt,1430.03,1174.67,388.15,7,0,20
171,0149.a4.txt,1383.42,1168.75,327.97,31,0,11
172,0122.a4.txt,1647.89,1035.21,401.41,10,0,6
173,0195.a4.txt,1597.29,1122.94,319.46,17,0,22
174,2036.a4.txt,1166.35,1195.03,411.09,39,0,0
175,1077.a4.txt,1871.48,992.11,574.97,18,0,5
176,2072.a4.txt,1695.57,1175.34,481.7,9,0,17
177,3065.a4.txt,1398.96,1264.25,652.85,12,0,6
178,1036.a4.txt,1546.28,1139.95,496.61,26,0,3
179,0213.a4.txt,1728.4,1059.67,483.54,4,1,11
180,0194.a4.txt,1675.03,1173.52,391.17,9,0,11
181,1104.a4.txt,1625.62,975.37,334.98,51,0,4
182,0179.a4.txt,1756.62,1040.24,215.9,34,0,2
183,2049.a4.txt,1878.57,892.86,300.0,15,0,35
184,3003.a4.txt,1817.42,1113.9,326.63,29,0,0
